Designator,Footprint,Mid X,Mid Y,Layer,Rotation
C23,Missing,31.944,15.603,T,0
C13,Missing,34.581,16.348,T,90
C20,Missing,36.424,16.348,T,90
C8,Missing,38.219,16.348,T,90
C21,Missing,40.026,16.348,T,90
C10,Missing,42.569,15.603,T,0
C22,Missing,42.569,17.5,T,0
R17,Missing,39.975,19.703,T,90
R15,Missing,37.462,19.703,T,90
R18,Missing,34.678,19.703,T,90
C11,Missing,31.944,17.66,T,0
C18,Missing,31.944,13.61,T,0
C12,Missing,35.26,13.61,T,180
C9,Missing,38.553,13.61,T,180
C19,Missing,41.955,13.61,T,0
L1,Missing,39.378,10.871,T,0
L2,Missing,34.494,10.854,T,180
R20,Missing,31.009,10.79,T,90
C14,Missing,31.944,8.138,T,180
R19,Missing,31.909,6.553,T,0
C15,Missing,31.944,4.919,T,180
IC3,Missing,37.146,4.911,T,270
R16,Missing,41.959,3.711,T,90
R12,Missing,43.535,3.711,T,270
R8,Missing,45.059,3.711,T,90
R7,Missing,46.637,3.711,T,90
J4,Missing,46.959,9.03,T,180
C17,Missing,32.748,2.316,T,270
C16,Missing,30.953,2.316,T,270
Y1,Missing,28.108,2.881,T,270
C4,Missing,14.999,3.354,T,0
LED,1 Missing,9.076,3.066,T,180
R4,Missing,9.076,4.625,T,180
R3,Missing,9.195,6.265,T,0
R5,Missing,9.195,8.005,T,180
R6,Missing,9.195,9.654,T,180
R2,Missing,9.195,11.272,T,180
C3,Missing,9.195,13.148,T,180
R1,Missing,9.195,14.892,T,0
C2,Missing,9.195,16.7,T,180
IC1,Missing,14.975,15.94,T,180
C5,Missing,14.999,8.855,T,180
IC2,Missing,14.809,6.32,T,0
C6,Missing,5.914,3.582,T,90
C7,Missing,4.103,3.582,T,90
C1,Missing,2.271,3.582,T,270
J3,Missing,2.959,9.03,T,180
J2,Missing,2.959,75.03,T,0
J1,Missing,46.959,75.03,T,0
